Market-Date,JBLU-Open-(USD),JBLU-Close-(USD),JBLU-Day-Price-Increase-(%),JBLU-Went-Up?,UAL-Open-(USD),UAL-Close-(USD),UAL-Day-Price-Increase-(%),UAL-Went-Up?,AAL-Open-(USD),AAL-Close-(USD),AAL-Day-Price-Increase-(%),AAL-Went-Up?,Average-Airline-Increase-(%),Average-Airline-Increase-Went-Up?,XOM-Open-(USD),XOM-Close-(USD),XOM-Day-Price-Increase-(%),XOM-Went-Up?,before-or-during-Covid,new-world-cases,new-world-cases-increase-(%),total-world-cases,total-world-cases-increase-(%),new-usa-cases,new-usa-cases-increase-(%),total-usa-cases,total-usa-cases-increase-(%),new-world-vaccinated,new-world-vaccinated-increase-(%),total-world-vaccinated,total-world-vaccinated-increase-(%),new-usa-vaccinated,new-usa-vaccinated-increase-(%),total-usa-vaccinated,total-usa-vaccinated-increase-(%)
6/14/2021,18.62,18.33,-1.557465091,FALSE,56.63,55.74,-1.571605156,FALSE,23.49,22.99,-2.128565347,FALSE,-1.752545198,FALSE,62.3,62.07,-0.3691813804,FALSE,during,3959961,131.9155889,739372214,0.5384681835,25751,5.037526513,33588580,0.07672476,79816,3.657142857,1897123,4.391993208,1170699,581.3044136,177145776,0.6652640931
6/15/2021,18.3,18.07,-1.256830601,FALSE,55.74,55.29,-0.8073196986,FALSE,22.969999,22.790001,-0.7836221499,FALSE,-0.9492574832,FALSE,62.48,64.33,2.960947503,TRUE,during,1514247,-61.7610628,740886461,0.2048017184,10646,-58.6579162,33599226,0.03169529644,15178,-80.98376265,1912301,0.8000535548,405318,-65.37812025,177551094,0.2288047783
6/16/2021,18.06,18.03,-0.1661129568,FALSE,55.18,55.6,0.7611453425,TRUE,22.74,22.83,0.3957783641,TRUE,0.3302702499,TRUE,64.32,64.1,-0.342039801,FALSE,during,1572473,3.845211514,742458934,0.2122421022,11753,10.39827165,33610979,0.03497997246,20628,35.90723415,1932929,1.078700477,429064,5.858609783,177980158,0.2416566355
6/17/2021,18,17.33,-3.722222222,FALSE,55.77,54.24,-2.743410436,FALSE,22.83,22.23,-2.628120894,FALSE,-3.031251184,FALSE,63.86,61.99,-2.928280614,FALSE,during,1598242,1.638756278,744057176,0.2152633535,11519,-1.990981026,33622498,0.03427153967,80120,288.4041109,2013049,4.145004809,281805,-34.32098708,178261963,0.1583350656
6/18/2021,17.2,17.31,0.6395348837,TRUE,53.87,54.92,1.949136811,TRUE,22.07,22.290001,0.9968328047,TRUE,1.195168166,TRUE,61,60.4,-0.9836065574,FALSE,during,1628059,1.865612342,745685235,0.2188083191,20984,82.16859102,33643482,0.06241059186,22959,-71.34423365,2036008,1.140508751,113702,-59.6522418,178375665,0.06378365754
6/21/2021,17.42,17.65,1.32032147,TRUE,55.24,55.69,0.8146270818,TRUE,22.32,22.450001,0.5824417563,TRUE,0.9057967694,TRUE,60.93,62.59,2.72443788,TRUE,during,3823499,134.8501498,749508734,0.5127497261,24542,16.95577583,33668024,0.07294726509,109229,375.7567838,2145237,5.364861042,1051570,824.8474081,179427235,0.5895254826
6/22/2021,17.65,17.46,-1.076487252,FALSE,55.49,55.17,-0.576680483,FALSE,22.35,22.110001,-1.073821029,FALSE,-0.9089962547,FALSE,62.85,63.79,1.495624503,TRUE,during,1655821,-56.69356785,751164555,0.2209208412,10767,-56.1282699,33678791,0.03197989879,34013,-68.86083366,2179250,1.585512463,351244,-66.59813422,179778479,0.1957584644
6/23/2021,17.53,17.32,-1.197946378,FALSE,55.13,55.12,-0.01813894431,FALSE,22.17,22.200001,0.1353225079,TRUE,-0.3602542715,FALSE,64.05,64.26,0.3278688525,TRUE,during,1601287,-3.293471939,752765842,0.2131739296,12498,16.07690164,33691289,0.03710940811,13796,-59.43903801,2193046,0.6330618332,368471,4.904567765,180146950,0.2049583477
6/24/2021,17.36,17.37,0.05760368664,TRUE,55.11,54.34,-1.397205589,FALSE,22.209999,22.35,0.6303512215,TRUE,-0.2364168936,FALSE,64.15,64.52,0.5767731878,TRUE,during,1650419,3.068281951,754416261,0.2192473287,14193,13.56216995,33705482,0.04212661617,40219,191.5265294,2233265,1.83393326,231078,-37.28733062,180378028,0.1282719469
6/25/2021,17.38,17.18,-1.150747986,FALSE,54.52,53.88,-1.173881145,FALSE,22.33,22.219999,-0.4926153157,FALSE,-0.9390814822,FALSE,64.61,64.66,0.07738740133,TRUE,during,1684033,2.036694924,756100294,0.2232233168,24522,72.77531177,33730004,0.07275374374,38164,-5.109525349,2271429,1.708888108,112179,-51.45405448,180490207,0.06219105578
6/28/2021,17.18,16.93,-1.455180442,FALSE,53.5,52.49,-1.887850467,FALSE,22.09,21.389999,-3.168859212,FALSE,-2.17063004,FALSE,64.56,63.01,-2.40086741,FALSE,during,4058252,140.9841137,760158546,0.5367346147,27488,12.0952614,33757492,0.08149420913,73614,92.8885861,2345043,3.240867313,956128,752.3235187,181446335,0.5297395443
6/29/2021,16.92,16.71,-1.241134752,FALSE,52.66,52.15,-0.9684770224,FALSE,21.32,21.08,-1.125703565,FALSE,-1.11177178,FALSE,63.21,62.62,-0.9333966145,FALSE,during,1543280,-61.97180461,761701826,0.2030208051,7526,-72.62077998,33765018,0.02229431025,37016,-49.71608661,2382059,1.578478518,318051,-66.73552077,181764386,0.1752865386
6/30/2021,16.72,16.78,0.3588516746,TRUE,52.27,52.29,0.03826286589,TRUE,21.09,21.209999,0.5689853011,TRUE,0.3220332805,TRUE,62.7,63.08,0.6060606061,TRUE,during,1616659,4.754743144,763318485,0.2122430254,15285,103.0959341,33780303,0.0452687453,71170,92.26820834,2453229,2.987751353,350377,10.16377877,182114763,0.1927643845
7/1/2021,16.92,17.12,1.182033097,TRUE,52.79,53.08,0.5493464671,TRUE,21.469999,21.51,0.1863111405,TRUE,0.6392302349,TRUE,64.33,63.26,-1.663298617,FALSE,during,1767416,9.32521948,765085901,0.231543718,14921,-2.381419693,33795224,0.04417071096,38451,-45.97302234,2491680,1.567362851,225459,-35.65245436,182340222,0.123800507
7/2/2021,17.16,17.1,-0.3496503497,FALSE,53.17,52.77,-0.7523039308,FALSE,21.620001,21.48,-0.6475531615,FALSE,-0.5831691473,FALSE,63.01,63.17,0.2539279479,TRUE,during,1793767,1.490933657,766879668,0.2344530199,29618,98.49876014,33824842,0.08763960257,21373,-44.4149697,2513053,0.8577746741,127009,-43.66647594,182467231,0.06965495523
7/6/2021,17.13,16.57,-3.269118506,FALSE,52.68,51.44,-2.353834472,FALSE,21.5,21.01,-2.279069767,FALSE,-2.634007582,FALSE,62.75,61.37,-2.199203187,FALSE,during,6215666,246.5146811,773095334,0.8105138602,41269,39.33756499,33866111,0.1220079609,102180,378.0798203,2615233,4.065970754,1176080,825.9816233,183643311,0.644543129
7/7/2021,16.412,16.16,-1.535461857,FALSE,51.04,50.3,-1.44984326,FALSE,20.790001,20.309999,-2.308811818,FALSE,-1.764705645,FALSE,61.18,60.41,-1.258581236,FALSE,during,1900456,-69.42474065,774995790,0.245824275,20148,-51.17885095,33886259,0.05949310212,34272,-66.45918967,2649505,1.310475969,306208,-73.96367594,183949519,0.1667406225
7/8/2021,15.83,16.06,1.452937461,TRUE,49.08,49.66,1.181744091,TRUE,19.879999,20.35,2.36419026,TRUE,1.666290604,TRUE,59.45,60.14,1.160639193,TRUE,during,1968727,3.592348363,776964517,0.2540306703,20878,3.623188406,33907137,0.06161199441,32152,-6.185807656,2681657,1.213509693,181908,-40.59332219,184131427,0.09889017432
7/9/2021,16.29,16.47,1.104972376,TRUE,50.33,51.1,1.529902643,TRUE,20.790001,20.889999,0.4809908379,TRUE,1.038621952,TRUE,60.7,61.23,0.8731466227,TRUE,during,2101857,6.76223773,779066374,0.2705216202,46989,125.0646614,33954126,0.1385814438,16675,-48.13697437,2698332,0.6218170333,27933,-84.64443565,184159360,0.01517014257
7/12/2021,16.26,16.5,1.47601476,TRUE,50.33,50.62,0.5761970991,TRUE,20.719999,20.84,0.5791554334,TRUE,0.8771224308,TRUE,60.42,61.17,1.241310824,TRUE,during,5000688,137.9176129,784067062,0.6418821511,51441,9.474557875,34005567,0.15150147,73898,343.1664168,2772230,2.738654843,757830,2613.027602,184917190,0.411507729
7/13/2021,16.27,15.845,-2.612169637,FALSE,49.76,48.5,-2.532154341,FALSE,20.690001,20.02,-3.238284039,FALSE,-2.794202672,FALSE,61,60.88,-0.1967213115,FALSE,during,2178218,-56.44163363,786245280,0.2778101652,26475,-48.53327113,34032042,0.07785489946,23121,-68.71227909,2795351,0.8340217082,289175,-61.84170592,185206365,0.1563808102
7/14/2021,16.07,15.62,-2.800248911,FALSE,49.04,48.16,-1.794453507,FALSE,20.870001,20.620001,-1.197891653,FALSE,-1.93086469,FALSE,61.17,59.53,-2.681052804,FALSE,during,2208334,1.382598069,788453614,0.2808708753,31148,17.65061379,34063190,0.09152550999,19372,-16.2146966,2814723,0.6930077833,321873,11.30733985,185528238,0.1737915433
